  Threshold    Accuracy    Accuracy change    Space saved
-----------  ----------  -----------------  -------------
          1    0.933794          0                11.8112
          2    0.933694          0.0107262        18.2421
          3    0.933694          0.0107262        22.9082
          4    0.933393          0.0429046        25.8436
          5    0.933193          0.064357         27.482
          6    0.932091          0.182345         30.0576
          7    0.931691          0.225249         31.6907
          8    0.93129           0.268154         32.6878
          9    0.930689          0.332511         34.345
         10    0.930188          0.386142         35.6757
         11    0.928686          0.547034         36.8807
         12    0.928285          0.589939         37.8748
         13    0.927083          0.718653         39.2151
         14    0.926983          0.729379         40.15
         15    0.92518           0.92245          41.7089
         16    0.92488           0.954628         42.758
         17    0.922676          1.1906           43.9787
         18    0.920873          1.38367          45.3173
         19    0.920072          1.46948          46.4546
         20    0.919271          1.55529          47.8115
         21    0.91857           1.63038          48.7184
         22    0.917468          1.74836          49.9931
         23    0.914163          2.10233          51.3483
         24    0.912961          2.23104          52.4329
         25    0.911558          2.38121          53.2921
         26    0.909255          2.62791          53.9202
         27    0.90615           2.96042          55.0268
         28    0.90595           2.98187          55.7983
         29    0.904347          3.15349          56.5305
         30    0.903245          3.27148          57.1207
         31    0.899539          3.66835          58.1071
         32    0.894331          4.22611          58.9073
         33    0.892829          4.387            59.4516
         34    0.890325          4.65515          60.5351
         35    0.888321          4.86968          61.2516
         36    0.886518          5.06275          61.6802
         37    0.879307          5.83503          62.4665
         38    0.873297          6.4786           63.2115
         39    0.872696          6.54296          63.8492
